code,name,type,scale_yi,benchmark_raw,status
161226,国投白银LOF,指数,36.5,白银期货,active
161725,白酒基金LOF,指数,36.1,中证白酒,active
163417,兴全合宜LOF,主动,10.9,,active
161716,招商双债LOF,指数,8.5,--,active
163402,兴全趋势LOF,主动,6.9,,active
161726,生物医药LOF,指数,4.8,生物医药,active
160632,酒LOF,指数,4.1,中证酒,active
161005,富国天惠LOF,主动,3.7,,active
167301,保险主题LOF,指数,3.5,保险主题,active
501227,泓德红利优选LOF,指数,3,中证红利,active
162412,医疗基金LOF,指数,2.8,中证医疗,active
162605,景顺鼎益LOF,主动,2.7,,active
160706,沪深300LOF,指数,2.4,沪深300,active
163418,兴全合兴LOF,主动,2.1,,active
163406,兴全合润LOF,主动,2,,active
161903,万家行业优选LOF,主动,1.7,,active
161026,国企改革LOF,指数,1.7,国企改革,active
160505,博时主题LOF,主动,1.6,,active
163113,申万证券LOF,指数,1.6,CSSW证券,active
501050,50AHLOF,指数,1.6,上证50优选,active
161812,深证100LOF,指数,1.6,深证100,active
161720,证券基金LOF,指数,1.6,证券公司,active
160219,医药LOF,指数,1.5,国证医药,active
162703,广发小盘LOF,主动,1.4,,active
161024,军工LOF,指数,1.4,中证军工,active
161027,证券LOF,指数,1.4,证券公司,active
501090,消费龙头LOF,指数,1.3,消费龙头,active
163109,申万深成LOF,指数,1.2,深证成指,active
501029,红利基金LOF,指数,1.2,标普A股红利,active
501205,鹏华创新未来LOF,主动,1.1,,active
161227,国投深证100LOF,指数,1.1,深证100,active
160133,南方天元LOF,主动,1.1,,active
501096,国联安科创LOF,主动,1.1,,active
160631,银行LOF基金,指数,0.9,中证银行,active
501026,财通福享混合LOF,主动,0.9,,active
160222,食品LOF,指数,0.9,国证食品,active
501207,华夏创新未来LOF,主动,0.9,,active
160919,产业升级LOF,主动,0.8,,active
160813,长盛同盛LOF,主动,0.8,,active
160630,国防LOF,指数,0.8,中证国防,active
161028,新能源车LOF,指数,0.8,CS新能车,active
501009,生物科技LOF,指数,0.7,中证生科,active
160323,华夏磐泰LOF,主动,0.7,,active
160916,优选LOF,主动,0.7,,active
165525,基建工程LOF,指数,0.7,基建工程,active
162607,景顺资源LOF,主动,0.7,,active
163415,兴全商业模式LOF,主动,0.7,,active
163503,天治核心LOF,主动,0.6,,active
160311,华夏蓝筹LOF,主动,0.6,,active
160314,华夏行业LOF,主动,0.6,,active
501219,智胜先锋LOF,主动,0.6,,active
165521,金融LOF,指数,0.6,800金融,active
160611,鹏华优质治理LOF,主动,0.6,,active
162509,中证A100LOF,指数,0.5,中证A100,active
160607,鹏华价值优势LOF,主动,0.5,,active
160625,证保LOF,指数,0.5,800非银,active
501206,添富创新未来LOF,主动,0.5,,active
501089,消费红利增强LOF,指数,0.5,消费红利,active
161131,易方达科润LOF,主动,0.5,,active
160918,中小盘LOF,主动,0.5,,active
161610,融通领先成长LOF,主动,0.5,,active
